ID	Context
0	永琳小姐，您是“月之头脑”吗？
1	那对我来说已经是个很久远的称呼了。如今我已是地上住民，便无法只考虑月上之事了。
2	那个……紫小姐说，您会帮忙打点月之民的关系……
3	地狱的长官登门，看来不止来了我们一家呢。
4	那您愿意帮忙吗？
5	当然。毕竟我现在也是彻彻底底的地上住民了——
6	我没有办法和理由拒绝。
7	那……？
8	我已经写信给我过去的徒弟——她们是月之公主，如今更是月之使者的首领，她们会协助你修行的。
9	太好了！我还在想怎么才能去月都，有这么厉害的靠山肯定就没问题了。
10	月都有结界，一般情况下是无法到达的。但梦境世界中还存在着沟通地月的通道，即“槐安通道”。
11	从梦境世界前往月都？听起来好酷啊！
12	当然，就算有这样一个通道，你也不能直接以污秽之身前往月都。
13	……我每次过去前会先洗澡的，这样可以吗？
14	在月之民眼里，拥有寿命的一切皆是污秽。那样的东西，想仅靠流水就洗净嘛？
15	那……我该怎么办呢？
19	你必须舍弃这个“污秽”之身。
20	等等……拥有寿命就是污秽的话，舍弃污秽之身该不会是指……
21	我、我还不想死啊！谁也没有跟我说过这件事要丢掉性命呀——我、我——
22	这点不用担心，怎么会让你丢掉性命呢，我们使用的是其他“方法”。
23	呜呜……那我就放心了……到底该怎么做呢？
24	我在制药方面有些许才能，在梦之支配者的能力配合下，我研制了一种新药——
25	这是能够令进入梦境之人具现化的药，蓬莱梦丸。
26	您太谦虚了！这怎么是“些许”才能就能办得到的事呢？！——不过这个药要怎么用呢？
27	服下这个药后，你的本体就会睡去并进入梦境。而梦境中的你可以通过槐安通道前往月之都。
28	那不就只是在做梦吗？
29	虽然说是梦境，但所遭遇的一切都是真实的。与其说是在做梦，不如说是二重身之类的。
30	我不理解……
31	让你现在理解也许的确过分复杂了，你只需要知道，梦境也是现实就好。 
32	梦境也是现实……
33	唔，完全不明白！但这是“月之头脑”这样厉害的贤者说的话……
34	我听您安排就是了！
35	选择放弃思考吗？……呵呵，这也不错。
36	吃下这颗药丸，你就可以自由前往月都了。
37	好、好的……
38	唔……味道一般啊……
39	毕竟我是药师而不是厨师呢。
40	就算做足了这些准备，月都也不是可以随意畅游的地方。
41	两位公主会对你的修行进行帮助，到了月都先去找她们吧。
42	我明白了！永琳小姐，非常感谢您的帮助！
