ID	Content
0	唔……
1	米斯琪，你又在发呆了呀~
2	我只是有些在意，总觉得灵梦小姐昨天的样子有点奇怪……
3	是吗？我感觉很普通啊？
4	不……灵梦小姐那个样子，和之前的我很像。
5	因为之前我有过被压力压垮的经历，所以我很明白。
6	你是说……
7	灵梦小姐恐怕也积攒了不少压力。
8	这样下去，我担心灵梦小姐总有一天也会崩溃。
9	博丽的巫女要是倒下的话……幻想乡至少得乱上一阵吧……
10	唔……
11	看你这样子，是又想去多管闲事了？
12	我们毕竟受了灵梦小姐不少关照。
13	所以我想，自己能不能也为她做点什么……
14	说的也是。我们能在神社这里开分店，也是多亏了她。
15	而且……灵梦小姐虽然说话有些冷漠，但她一直很真诚地对待我们。
16	作为妖怪这样说可能有点不知天高地厚……
17	但我真的很珍惜和灵梦小姐建立起来的关系。
18	那个巫女确实是这样的人，直率得像个笨蛋一样。
19	这大概就是大家喜欢她的原因吧——
20	只是，我们又能为她做什么呢……
21	唔……
22	啊！我想到一个办法！
23	诶！是什么！？
24	你不是说，灵梦现在的状态和那时的你很像吗？
25	是啊……
26	那你还记得你那时怎么解决的吗？
27	你是说……！？
28	没错！就是音乐！
29	可是，灵梦小姐似乎很讨厌吵闹呢……
30	摇滚才不是吵闹呢！
31	趁这个机会，好好把我们的音乐传达给那个笨蛋巫女吧！
32	说、说的是啊！！！
33	也该让灵梦小姐感受一下我们寄托在音乐中的情感！
34	不在音乐中爆发，就在音乐中死亡吧！！！
35	那，等偿还了这个月债务，我们就在店里办一个暖场live吧！
36	好——！那我们先开店吧！具体明天早上我再去找你商量！
37	好！
